nm0000008 - Marlon Brando        - https://www.imdb.com/name/nm0000008
nm0000028 - Rita Hayworth        - https://www.imdb.com/name/nm0000028
nm0000056 - Paul Newman          - https://www.imdb.com/name/nm0000056
nm0000093 - Brad Pitt            - https://www.imdb.com/name/nm0000093
nm0000095 - Woody Allen          - https://www.imdb.com/name/nm0000095
nm0000096 - Gillian Anderson     - https://www.imdb.com/name/nm0000096
nm0000098 - Jennifer Aniston     - https://www.imdb.com/name/nm0000098
nm0000099 - Patricia Arquette    - https://www.imdb.com/name/nm0000099
nm0000102 - Kevin Bacon          - https://www.imdb.com/name/nm0000102
nm0000104 - Antonio Banderas     - https://www.imdb.com/name/nm0000104
nm0000112 - Pierce Brosnan       - https://www.imdb.com/name/nm0000112
nm0000113 - Sandra Bullock       - https://www.imdb.com/name/nm0000113
nm0000115 - Nicolas Cage         - https://www.imdb.com/name/nm0000115
nm0000117 - Neve Campbell        - https://www.imdb.com/name/nm0000117
nm0000123 - George Clooney       - https://www.imdb.com/name/nm0000123
nm0000124 - Jennifer Connelly    - https://www.imdb.com/name/nm0000124
nm0000125 - Sean Connery         - https://www.imdb.com/name/nm0000125
nm0000126 - Kevin Costner        - https://www.imdb.com/name/nm0000126
nm0000128 - Russell Crowe        - https://www.imdb.com/name/nm0000128
nm0000129 - Tom Cruise           - https://www.imdb.com/name/nm0000129
nm0000130 - Jamie Lee Curtis     - https://www.imdb.com/name/nm0000130
nm0000131 - John Cusack          - https://www.imdb.com/name/nm0000131
nm0000132 - Claire Danes         - https://www.imdb.com/name/nm0000132
nm0000133 - Geena Davis          - https://www.imdb.com/name/nm0000133
nm0000134 - Robert De Niro       - https://www.imdb.com/name/nm0000134
nm0000136 - Johnny Depp          - https://www.imdb.com/name/nm0000136
nm0000138 - Leonardo DiCaprio    - https://www.imdb.com/name/nm0000138
nm0000139 - Cameron Diaz         - https://www.imdb.com/name/nm0000139
nm0000140 - Michael Douglas      - https://www.imdb.com/name/nm0000140
nm0000144 - Cary Elwes           - https://www.imdb.com/name/nm0000144
nm0000146 - Ralph Fiennes        - https://www.imdb.com/name/nm0000146
nm0000148 - Harrison Ford        - https://www.imdb.com/name/nm0000148
nm0000149 - Jodie Foster         - https://www.imdb.com/name/nm0000149
nm0000151 - Morgan Freeman       - https://www.imdb.com/name/nm0000151
nm0000152 - Richard Gere         - https://www.imdb.com/name/nm0000152
nm0000153 - Gina Gershon         - https://www.imdb.com/name/nm0000153
nm0000154 - Mel Gibson           - https://www.imdb.com/name/nm0000154
nm0000158 - Tom Hanks            - https://www.imdb.com/name/nm0000158
nm0000160 - Ethan Hawke          - https://www.imdb.com/name/nm0000160
nm0000161 - Salma Hayek          - https://www.imdb.com/name/nm0000161
nm0000168 - Samuel L. Jackson    - https://www.imdb.com/name/nm0000168
nm0000170 - Milla Jovovich       - https://www.imdb.com/name/nm0000170
nm0000173 - Nicole Kidman        - https://www.imdb.com/name/nm0000173
nm0000174 - Val Kilmer           - https://www.imdb.com/name/nm0000174
nm0000178 - Diane Lane           - https://www.imdb.com/name/nm0000178
nm0000190 - Matthew McConaughey  - https://www.imdb.com/name/nm0000190
nm0000191 - Ewan McGregor        - https://www.imdb.com/name/nm0000191
nm0000193 - Demi Moore           - https://www.imdb.com/name/nm0000193
nm0000194 - Julianne Moore       - https://www.imdb.com/name/nm0000194
nm0000197 - Jack Nicholson       - https://www.imdb.com/name/nm0000197
nm0000199 - Al Pacino            - https://www.imdb.com/name/nm0000199
nm0000201 - Michelle Pfeiffer    - https://www.imdb.com/name/nm0000201
nm0000203 - River Phoenix        - https://www.imdb.com/name/nm0000203
nm0000204 - Natalie Portman      - https://www.imdb.com/name/nm0000204
nm0000207 - Christina Ricci      - https://www.imdb.com/name/nm0000207
nm0000208 - Molly Ringwald       - https://www.imdb.com/name/nm0000208
nm0000210 - Julia Roberts        - https://www.imdb.com/name/nm0000210
nm0000212 - Meg Ryan             - https://www.imdb.com/name/nm0000212
nm0000213 - Winona Ryder         - https://www.imdb.com/name/nm0000213
nm0000215 - Susan Sarandon       - https://www.imdb.com/name/nm0000215
nm0000216 - Arnold Schwarzenegger - https://www.imdb.com/name/nm0000216
nm0000217 - Martin Scorsese      - https://www.imdb.com/name/nm0000217
nm0000223 - Elisabeth Shue       - https://www.imdb.com/name/nm0000223
nm0000226 - Will Smith           - https://www.imdb.com/name/nm0000226
nm0000227 - Mira Sorvino         - https://www.imdb.com/name/nm0000227
nm0000228 - Kevin Spacey         - https://www.imdb.com/name/nm0000228
nm0000229 - Steven Spielberg     - https://www.imdb.com/name/nm0000229
nm0000230 - Sylvester Stallone   - https://www.imdb.com/name/nm0000230
nm0000232 - Sharon Stone         - https://www.imdb.com/name/nm0000232
nm0000233 - Quentin Tarantino    - https://www.imdb.com/name/nm0000233
nm0000234 - Charlize Theron      - https://www.imdb.com/name/nm0000234
nm0000235 - Uma Thurman          - https://www.imdb.com/name/nm0000235
nm0000236 - Jennifer Tilly       - https://www.imdb.com/name/nm0000236
nm0000239 - Liv Tyler            - https://www.imdb.com/name/nm0000239
nm0000242 - Mark Wahlberg        - https://www.imdb.com/name/nm0000242
nm0000243 - Denzel Washington    - https://www.imdb.com/name/nm0000243
nm0000244 - Sigourney Weaver     - https://www.imdb.com/name/nm0000244
nm0000245 - Robin Williams       - https://www.imdb.com/name/nm0000245
nm0000246 - Bruce Willis         - https://www.imdb.com/name/nm0000246
nm0000250 - Renée Zellweger      - https://www.imdb.com/name/nm0000250
nm0000255 - Ben Affleck          - https://www.imdb.com/name/nm0000255
nm0000261 - Karen Allen          - https://www.imdb.com/name/nm0000261
nm0000289 - Ellen Barkin         - https://www.imdb.com/name/nm0000289
nm0000295 - Kate Beckinsale      - https://www.imdb.com/name/nm0000295
nm0000304 - Linda Blair          - https://www.imdb.com/name/nm0000304
nm0000307 - Helena Bonham Carter - https://www.imdb.com/name/nm0000307
nm0000317 - Clancy Brown         - https://www.imdb.com/name/nm0000317
nm0000318 - Tim Burton           - https://www.imdb.com/name/nm0000318
nm0000322 - Emmanuelle Béart     - https://www.imdb.com/name/nm0000322
nm0000326 - Kim Cattrall         - https://www.imdb.com/name/nm0000326
nm0000327 - Lacey Chabert        - https://www.imdb.com/name/nm0000327
nm0000329 - Jackie Chan          - https://www.imdb.com/name/nm0000329
nm0000338 - Francis Ford Coppola - https://www.imdb.com/name/nm0000338
nm0000347 - Tim Curry            - https://www.imdb.com/name/nm0000347
nm0000352 - Vincent D'Onofrio    - https://www.imdb.com/name/nm0000352
nm0000353 - Willem Dafoe         - https://www.imdb.com/name/nm0000353
nm0000354 - Matt Damon           - https://www.imdb.com/name/nm0000354
nm0000358 - Daniel Day-Lewis     - https://www.imdb.com/name/nm0000358
nm0000362 - Danny DeVito         - https://www.imdb.com/name/nm0000362
nm0000374 - Brad Dourif          - https://www.imdb.com/name/nm0000374
nm0000375 - Robert Downey Jr.    - https://www.imdb.com/name/nm0000375
nm0000378 - Minnie Driver        - https://www.imdb.com/name/nm0000378
nm0000379 - Kirsten Dunst        - https://www.imdb.com/name/nm0000379
nm0000399 - David Fincher        - https://www.imdb.com/name/nm0000399
nm0000401 - Laurence Fishburne   - https://www.imdb.com/name/nm0000401
nm0000404 - Jane Fonda           - https://www.imdb.com/name/nm0000404
nm0000407 - Vivica A. Fox        - https://www.imdb.com/name/nm0000407
nm0000409 - Brendan Fraser       - https://www.imdb.com/name/nm0000409
nm0000415 - Jami Gertz           - https://www.imdb.com/name/nm0000415
nm0000420 - Valeria Golino       - https://www.imdb.com/name/nm0000420
nm0000422 - John Goodman         - https://www.imdb.com/name/nm0000422
nm0000437 - Woody Harrelson      - https://www.imdb.com/name/nm0000437
